,,Zig,,,,,,,,Go,,,,,,,,Rust,,,,,,,,Control,,,,,,,,All Averages,,,
,Queries completed,4950249,4950249,4950249,4950249,4950249,4950249,4950249,4950249,4950273,4950007,4950074,4950138,4950123,4950007,4950273,4950123,4949853,4950175,4949890,4950183,4949769,4949769,4950183,4949974,,,,,,,,,Queries completed,4950249,4950123,4949974
,Queries lost,49751,49751,49751,49751,49751,49751,49751,49751,49727,49993,49926,49862,49877,49727,49993,49877,50147,49825,50110,49817,50231,49817,50231,50026,,,,,,,,,Queries lost,49751,49877,50026
,Run time (s),79.165028,80.30557,80.705437,80.324898,79.913622,79.165028,80.705437,80.082911,132.775161,133.786053,133.347748,133.674701,133.234227,132.775161,133.786053,133.363578,82.050605,80.601824,82.298378,79.736315,79.386722,79.386722,82.298378,80.8147688,,,,,,,,,Run time (s),80.082911,133.363578,80.8147688
,Queries per second,62530.75537,61642.66065,61337.24299,61627.82802,61944.99606,61337.24299,62530.75537,61816.69662,37283.12557,36999.42475,37121.54179,37031.22553,37153.53863,36999.42475,37283.12557,37117.77125,60326.83123,61415.17343,60145.65682,62081.91337,62350.08671,60145.65682,62350.08671,61263.93231,,,,,,,,,Queries per second,61816.69662,37117.77125,61263.93231
,Average Latency (s),0.000288,0.0003,0.000309,0.000295,0.000293,0.000288,0.000309,0.000297,0.00161,0.001626,0.001619,0.001627,0.001615,0.00161,0.001627,0.0016194,0.000303,0.000295,0.000306,0.000297,0.000306,0.000295,0.000306,0.0003014,,,,,,,,,Average Latency (s),0.000297,0.0016194,0.0003014
,Min Latency (s),0.000015,0.000014,0.000014,0.000013,0.000014,0.000013,0.000015,0.000014,0.000034,0.000033,0.000032,0.000034,0.000033,0.000032,0.000034,0.0000332,0.000016,0.000015,0.000015,0.000016,0.000015,0.000015,0.000016,0.0000154,,,,,,,,,Min Latency (s),0.000014,0.0000332,0.0000154
,Max Latency (s),0.010896,0.003139,0.004034,0.003691,0.002215,0.002215,0.010896,0.004795,0.009021,0.009667,0.039047,0.009615,0.044222,0.009021,0.044222,0.0223144,0.003387,0.004603,0.004304,0.006261,0.008298,0.003387,0.008298,0.0053706,,,,,,,,,Max Latency (s),0.004795,0.0223144,0.0053706
,Latency StdDev (s),0.000207,0.000224,0.000213,0.000215,0.000228,0.000207,0.000228,0.0002174,0.000537,0.000539,0.000552,0.000533,0.00056,0.000533,0.00056,0.0005442,0.00021,0.000222,0.000209,0.000225,0.000216,0.000209,0.000225,0.0002164,,,,,,,,,Latency StdDev (s),0.0002174,0.0005442,0.0002164
DNS Filter (Worker Threads),perf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,perf,,,
,cycles,1308820,2141317,2074912,1781750,1647399,1308820,2141317,1790839.6,2340344,2180750,1884743,2037821,2043869,1884743,2340344,2097505.4,2137673,2381519,2254492,2111846,2133964,2111846,2381519,2203898.8,,,,,,,,,cycles,1790839.6,2097505.4,2203898.8
,instructions,975839,992811,1017104,992051,994692,975839,1017104,994499.4,1056571,1022963,1031435,1010655,1028597,1010655,1056571,1030044.2,1034576,1003929,1004800,1008041,996807,996807,1034576,1009630.6,,,,,,,,,instructions,994499.4,1030044.2,1009630.6
,cache-references,360212,369421,385934,372757,374348,360212,385934,372534.4,381749,380425,385104,375867,388772,375867,388772,382383.4,385401,377116,371021,377402,374340,371021,385401,377056,,,,,,,,,cache-references,372534.4,382383.4,377056
,cache-misses,7738,8270,9227,9078,8604,7738,9227,8583.4,9413,9448,9557,9218,8658,8658,9557,9258.8,8547,8895,9103,8585,8841,8547,9103,8794.2,,,,,,,,,cache-misses,8583.4,9258.8,8794.2
,branches,193146,195078,199162,194501,195502,193146,199162,195477.8,213781,201344,202155,198715,202699,198715,213781,203738.8,202081,199083,199030,198619,196014,196014,202081,198965.4,,,,,,,,,branches,195477.8,203738.8,198965.4
,branch-misses,9588,10851,12227,11143,11360,9588,12227,11033.8,9463,10530,10663,9634,12485,9463,12485,10555,11780,11125,9733,10911,10744,9733,11780,10858.6,,,,,,,,,branch-misses,11033.8,10555,10858.6
,page-faults,22,22,23,22,23,22,23,22.4,29,29,30,30,30,29,30,29.6,23,23,22,23,22,22,23,22.6,,,,,,,,,page-faults,22.4,29.6,22.6
,context-switches,2,2,4,2,1,1,4,2.2,2,2,2,2,4,2,4,2.4,2,2,1,2,2,1,2,1.8,,,,,,,,,context-switches,2.2,2.4,1.8
,cpu-migrations,0,1,0,0,1,0,1,0.4,0,0,0,0,1,0,1,0.2,0,0,0,0,0,0,0,0,,,,,,,,,cpu-migrations,0.4,0.2,0
,LLC-load-misses,7184,9249,9781,7447,6851,6851,9781,8102.4,11388,11305,11651,11295,10565,10565,11651,11240.8,13240,13586,14064,13693,14267,13240,14267,13770,,,,,,,,,LLC-load-misses,8102.4,11240.8,13770
,time elapsed (s),65.06523223,65.06469461,66.0657481,64.06414909,65.06502056,64.06414909,66.0657481,65.06496892,106.0551781,107.0688956,107.0630925,106.0609519,107.0528117,106.0551781,107.0688956,106.660186,34.03899291,35.03903155,36.04201087,34.0379727,35.04097274,34.0379727,36.04201087,34.83979615,,,,,,,,,time elapsed (s),65.06496892,106.660186,34.83979615
,dnsperf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dnsperf,,,
,Queries sent,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,5000000,,,,,,,,,Queries sent,5000000,5000000,5000000
,Queries completed,4950262,4949849,4950100,4950063,4950264,4949849,4950264,4950107.6,4949706,4949625,4949921,4949744,4950050,4949625,4950050,4949809.2,4789528,4777153,4776782,4793768,4773589,4773589,4793768,4782164,,,,,,,,,Queries completed,4950107.6,4949809.2,4782164
,Queries lost,49738,50151,49900,49937,49736,49736,50151,49892.4,50294,50375,50079,50256,49950,49950,50375,50190.8,210472,222847,223218,206232,226411,206232,226411,217836,,,,,,,,,Queries lost,49892.4,50190.8,217836
,Run time (s),64.521755,64.593802,65.806041,63.321917,64.603784,63.321917,65.806041,64.5694598,105.521108,105.999168,106.34499,105.826665,106.131125,105.521108,106.34499,105.9646112,33.466029,34.15692,35.014949,33.157992,34.131597,33.157992,35.014949,33.9854974,,,,,,,,,Run time (s),64.5694598,105.9646112,33.9854974
,Queries per second,76722.37062,76630.40178,75222.57721,78172.98077,76624.98531,75222.57721,78172.98077,76674.66314,46907.25954,46694.94198,46545.87865,46772.18166,46640.88881,46545.87865,46907.25954,46712.23013,143116.1134,139859.0095,136421.2183,144573.5315,139858.3547,136421.2183,144573.5315,140765.6455,,,,,,,,,Queries per second,76674.66314,46712.23013,140765.6455
,Average Latency (s),0.000188,0.000191,0.000188,0.000189,0.000194,0.000188,0.000194,0.00019,0.001006,0.001015,0.001028,0.001015,0.001025,0.001006,0.001028,0.0010178,0.001253,0.001253,0.001364,0.001253,0.001218,0.001218,0.001364,0.0012682,,,,,,,,,Average Latency (s),0.00019,0.0010178,0.0012682
,Min Latency (s),0.00002,0.000021,0.000021,0.000021,0.000021,0.00002,0.000021,0.0000208,0.000039,0.000038,0.000041,0.000037,0.000036,0.000036,0.000041,0.0000382,0.000015,0.000015,0.000014,0.000015,0.000014,0.000014,0.000015,0.0000146,,,,,,,,,Min Latency (s),0.0000208,0.0000382,0.0000146
